Dates,Tickers,Data
20250523,FX.EURUSD.VOL::7Y::ATM::MID,0.0879
20250424,FX.EURUSD.VOL::7Y::ATM::MID,0.0909
20250224,FX.EURUSD.VOL::7Y::ATM::MID,0.0805
20250324,FX.EURUSD.VOL::7Y::ATM::MID,0.0821
20250425,FX.EURUSD.VOL::7Y::ATM::MID,0.0907
20250225,FX.EURUSD.VOL::7Y::ATM::MID,0.0806
20250325,FX.EURUSD.VOL::7Y::ATM::MID,0.0807
20250226,FX.EURUSD.VOL::7Y::ATM::MID,0.0809
20250326,FX.EURUSD.VOL::7Y::ATM::MID,0.0798
20250526,FX.EURUSD.VOL::7Y::ATM::MID,0.088
20250227,FX.EURUSD.VOL::7Y::ATM::MID,0.0824
20250327,FX.EURUSD.VOL::7Y::ATM::MID,0.0806
20250527,FX.EURUSD.VOL::7Y::ATM::MID,0.0861
20250428,FX.EURUSD.VOL::7Y::ATM::MID,0.0918
20250228,FX.EURUSD.VOL::7Y::ATM::MID,0.0828
20250328,FX.EURUSD.VOL::7Y::ATM::MID,0.0827
20250528,FX.EURUSD.VOL::7Y::ATM::MID,0.0855
20250429,FX.EURUSD.VOL::7Y::ATM::MID,0.0934
20250529,FX.EURUSD.VOL::7Y::ATM::MID,0.0863
20250430,FX.EURUSD.VOL::7Y::ATM::MID,0.0925
20250530,FX.EURUSD.VOL::7Y::ATM::MID,0.0864
20250331,FX.EURUSD.VOL::7Y::ATM::MID,0.0837
20250401,FX.EURUSD.VOL::6M::ATM::MID,0.0746
20250501,FX.EURUSD.VOL::6M::ATM::MID,0.0865
20250402,FX.EURUSD.VOL::6M::ATM::MID,0.0756
20250602,FX.EURUSD.VOL::6M::ATM::MID,0.0796
20250502,FX.EURUSD.VOL::6M::ATM::MID,0.0873
20250403,FX.EURUSD.VOL::6M::ATM::MID,0.0824
20250303,FX.EURUSD.VOL::6M::ATM::MID,0.0723
20250404,FX.EURUSD.VOL::6M::ATM::MID,0.0843
20250304,FX.EURUSD.VOL::6M::ATM::MID,0.075
20250305,FX.EURUSD.VOL::6M::ATM::MID,0.0775
20250505,FX.EURUSD.VOL::6M::ATM::MID,0.0884
20250306,FX.EURUSD.VOL::6M::ATM::MID,0.0765
20250506,FX.EURUSD.VOL::6M::ATM::MID,0.089
20250407,FX.EURUSD.VOL::6M::ATM::MID,0.0854
20250307,FX.EURUSD.VOL::6M::ATM::MID,0.0769
20250507,FX.EURUSD.VOL::6M::ATM::MID,0.0879
20250408,FX.EURUSD.VOL::6M::ATM::MID,0.0818
20250508,FX.EURUSD.VOL::6M::ATM::MID,0.0846
20250409,FX.EURUSD.VOL::6M::ATM::MID,0.0813
20250509,FX.EURUSD.VOL::6M::ATM::MID,0.0828
20250410,FX.EURUSD.VOL::6M::ATM::MID,0.0889
20250310,FX.EURUSD.VOL::6M::ATM::MID,0.0772
20250411,FX.EURUSD.VOL::6M::ATM::MID,0.094
20250311,FX.EURUSD.VOL::6M::ATM::MID,0.0782
20250312,FX.EURUSD.VOL::6M::ATM::MID,0.0756
20250512,FX.EURUSD.VOL::6M::ATM::MID,0.0725
20250313,FX.EURUSD.VOL::6M::ATM::MID,0.0747
20250513,FX.EURUSD.VOL::6M::ATM::MID,0.0744
20250414,FX.EURUSD.VOL::6M::ATM::MID,0.0885
20250314,FX.EURUSD.VOL::6M::ATM::MID,0.0746
20250514,FX.EURUSD.VOL::6M::ATM::MID,0.075
20250415,FX.EURUSD.VOL::6M::ATM::MID,0.0851
20250515,FX.EURUSD.VOL::6M::ATM::MID,0.0756
20250416,FX.EURUSD.VOL::6M::ATM::MID,0.0881
20250516,FX.EURUSD.VOL::6M::ATM::MID,0.0749
20250417,FX.EURUSD.VOL::6M::ATM::MID,0.0853
20250317,FX.EURUSD.VOL::6M::ATM::MID,0.0731
20250418,FX.EURUSD.VOL::6M::ATM::MID,0.0855
20250318,FX.EURUSD.VOL::6M::ATM::MID,0.0747
20250319,FX.EURUSD.VOL::6M::ATM::MID,0.0742
20250519,FX.EURUSD.VOL::6M::ATM::MID,0.0767
20250320,FX.EURUSD.VOL::6M::ATM::MID,0.074
20250520,FX.EURUSD.VOL::6M::ATM::MID,0.0769
20250421,FX.EURUSD.VOL::6M::ATM::MID,0.0934
20250321,FX.EURUSD.VOL::6M::ATM::MID,0.0736
20250521,FX.EURUSD.VOL::6M::ATM::MID,0.0802
20250422,FX.EURUSD.VOL::6M::ATM::MID,0.09
20250522,FX.EURUSD.VOL::6M::ATM::MID,0.079
20250423,FX.EURUSD.VOL::6M::ATM::MID,0.0859
20250523,FX.EURUSD.VOL::6M::ATM::MID,0.0818
20250424,FX.EURUSD.VOL::6M::ATM::MID,0.0863
20250224,FX.EURUSD.VOL::6M::ATM::MID,0.0715
20250324,FX.EURUSD.VOL::6M::ATM::MID,0.0728
20250425,FX.EURUSD.VOL::6M::ATM::MID,0.0855
20250225,FX.EURUSD.VOL::6M::ATM::MID,0.0715
20250325,FX.EURUSD.VOL::6M::ATM::MID,0.0709
20250226,FX.EURUSD.VOL::6M::ATM::MID,0.0717
20250326,FX.EURUSD.VOL::6M::ATM::MID,0.07
20250526,FX.EURUSD.VOL::6M::ATM::MID,0.0813
20250227,FX.EURUSD.VOL::6M::ATM::MID,0.0732
20250327,FX.EURUSD.VOL::6M::ATM::MID,0.0718
20250527,FX.EURUSD.VOL::6M::ATM::MID,0.0783
20250428,FX.EURUSD.VOL::6M::ATM::MID,0.0875
20250228,FX.EURUSD.VOL::6M::ATM::MID,0.0737
20250328,FX.EURUSD.VOL::6M::ATM::MID,0.0741
20250528,FX.EURUSD.VOL::6M::ATM::MID,0.0782
20250429,FX.EURUSD.VOL::6M::ATM::MID,0.0886
20250529,FX.EURUSD.VOL::6M::ATM::MID,0.079
20250430,FX.EURUSD.VOL::6M::ATM::MID,0.0879
20250530,FX.EURUSD.VOL::6M::ATM::MID,0.0782
20250331,FX.EURUSD.VOL::6M::ATM::MID,0.0757
20250401,FX.EURUSD.VOL::9M::ATM::MID,0.0743
20250501,FX.EURUSD.VOL::9M::ATM::MID,0.084
20250402,FX.EURUSD.VOL::9M::ATM::MID,0.075
20250602,FX.EURUSD.VOL::9M::ATM::MID,0.0784
20250502,FX.EURUSD.VOL::9M::ATM::MID,0.0845
20250403,FX.EURUSD.VOL::9M::ATM::MID,0.08
20250303,FX.EURUSD.VOL::9M::ATM::MID,0.0729
20250404,FX.EURUSD.VOL::9M::ATM::MID,0.0819
20250304,FX.EURUSD.VOL::9M::ATM::MID,0.0755
20250305,FX.EURUSD.VOL::9M::ATM::MID,0.0771
20250505,FX.EURUSD.VOL::9M::ATM::MID,0.0856
20250306,FX.EURUSD.VOL::9M::ATM::MID,0.0759
20250506,FX.EURUSD.VOL::9M::ATM::MID,0.0861
20250407,FX.EURUSD.VOL::9M::ATM::MID,0.083
20250307,FX.EURUSD.VOL::9M::ATM::MID,0.0762
20250507,FX.EURUSD.VOL::9M::ATM::MID,0.0853
20250408,FX.EURUSD.VOL::9M::ATM::MID,0.0802
20250508,FX.EURUSD.VOL::9M::ATM::MID,0.0825
20250409,FX.EURUSD.VOL::9M::ATM::MID,0.0812
20250509,FX.EURUSD.VOL::9M::ATM::MID,0.0812
20250410,FX.EURUSD.VOL::9M::ATM::MID,0.0864
20250310,FX.EURUSD.VOL::9M::ATM::MID,0.0768
20250411,FX.EURUSD.VOL::9M::ATM::MID,0.0899
20250311,FX.EURUSD.VOL::9M::ATM::MID,0.0776
20250312,FX.EURUSD.VOL::9M::ATM::MID,0.0755
20250512,FX.EURUSD.VOL::9M::ATM::MID,0.0726
20250313,FX.EURUSD.VOL::9M::ATM::MID,0.0748
20250513,FX.EURUSD.VOL::9M::ATM::MID,0.074
20250414,FX.EURUSD.VOL::9M::ATM::MID,0.0861
20250314,FX.EURUSD.VOL::9M::ATM::MID,0.0748
20250514,FX.EURUSD.VOL::9M::ATM::MID,0.0745
20250415,FX.EURUSD.VOL::9M::ATM::MID,0.0832
20250515,FX.EURUSD.VOL::9M::ATM::MID,0.0748
20250416,FX.EURUSD.VOL::9M::ATM::MID,0.086
20250516,FX.EURUSD.VOL::9M::ATM::MID,0.0744
20250417,FX.EURUSD.VOL::9M::ATM::MID,0.0837
20250317,FX.EURUSD.VOL::9M::ATM::MID,0.0735
20250418,FX.EURUSD.VOL::9M::ATM::MID,0.0837
20250318,FX.EURUSD.VOL::9M::ATM::MID,0.0749
20250319,FX.EURUSD.VOL::9M::ATM::MID,0.0746
20250519,FX.EURUSD.VOL::9M::ATM::MID,0.0756
20250320,FX.EURUSD.VOL::9M::ATM::MID,0.074
20250520,FX.EURUSD.VOL::9M::ATM::MID,0.0758
20250421,FX.EURUSD.VOL::9M::ATM::MID,0.09
20250321,FX.EURUSD.VOL::9M::ATM::MID,0.0739
20250521,FX.EURUSD.VOL::9M::ATM::MID,0.0785
20250422,FX.EURUSD.VOL::9M::ATM::MID,0.087
20250522,FX.EURUSD.VOL::9M::ATM::MID,0.0776
20250423,FX.EURUSD.VOL::9M::ATM::MID,0.0832
20250523,FX.EURUSD.VOL::9M::ATM::MID,0.08
20250424,FX.EURUSD.VOL::9M::ATM::MID,0.0835
20250224,FX.EURUSD.VOL::9M::ATM::MID,0.0719
20250324,FX.EURUSD.VOL::9M::ATM::MID,0.0731
20250425,FX.EURUSD.VOL::9M::ATM::MID,0.0834
20250225,FX.EURUSD.VOL::9M::ATM::MID,0.0722
20250325,FX.EURUSD.VOL::9M::ATM::MID,0.0716
20250226,FX.EURUSD.VOL::9M::ATM::MID,0.0724
20250326,FX.EURUSD.VOL::9M::ATM::MID,0.0709
20250526,FX.EURUSD.VOL::9M::ATM::MID,0.0798
20250227,FX.EURUSD.VOL::9M::ATM::MID,0.0739
20250327,FX.EURUSD.VOL::9M::ATM::MID,0.0719
20250527,FX.EURUSD.VOL::9M::ATM::MID,0.0771
20250428,FX.EURUSD.VOL::9M::ATM::MID,0.0854
20250228,FX.EURUSD.VOL::9M::ATM::MID,0.0742
20250328,FX.EURUSD.VOL::9M::ATM::MID,0.0742
20250528,FX.EURUSD.VOL::9M::ATM::MID,0.0769
20250429,FX.EURUSD.VOL::9M::ATM::MID,0.0862
20250529,FX.EURUSD.VOL::9M::ATM::MID,0.0775
20250430,FX.EURUSD.VOL::9M::ATM::MID,0.085
20250530,FX.EURUSD.VOL::9M::ATM::MID,0.0775
20250331,FX.EURUSD.VOL::9M::ATM::MID,0.0752
20250401,FX.EURUSD.VOL::2Y::ATM::MID,0.0756
20250501,FX.EURUSD.VOL::2Y::ATM::MID,0.084
20250402,FX.EURUSD.VOL::2Y::ATM::MID,0.0764
20250602,FX.EURUSD.VOL::2Y::ATM::MID,0.0792
20250502,FX.EURUSD.VOL::2Y::ATM::MID,0.0845
20250403,FX.EURUSD.VOL::2Y::ATM::MID,0.0805
20250303,FX.EURUSD.VOL::2Y::ATM::MID,0.0745
20250404,FX.EURUSD.VOL::2Y::ATM::MID,0.0818
20250304,FX.EURUSD.VOL::2Y::ATM::MID,0.0765
20250305,FX.EURUSD.VOL::2Y::ATM::MID,0.0777
20250505,FX.EURUSD.VOL::2Y::ATM::MID,0.085
20250306,FX.EURUSD.VOL::2Y::ATM::MID,0.0769
20250506,FX.EURUSD.VOL::2Y::ATM::MID,0.0855
20250407,FX.EURUSD.VOL::2Y::ATM::MID,0.0831
20250307,FX.EURUSD.VOL::2Y::ATM::MID,0.0769
20250507,FX.EURUSD.VOL::2Y::ATM::MID,0.085
20250408,FX.EURUSD.VOL::2Y::ATM::MID,0.0806
20250508,FX.EURUSD.VOL::2Y::ATM::MID,0.083
20250409,FX.EURUSD.VOL::2Y::ATM::MID,0.0806
20250509,FX.EURUSD.VOL::2Y::ATM::MID,0.0816
20250410,FX.EURUSD.VOL::2Y::ATM::MID,0.086
20250310,FX.EURUSD.VOL::2Y::ATM::MID,0.0776
20250411,FX.EURUSD.VOL::2Y::ATM::MID,0.0883
20250311,FX.EURUSD.VOL::2Y::ATM::MID,0.0779
20250312,FX.EURUSD.VOL::2Y::ATM::MID,0.0766
20250512,FX.EURUSD.VOL::2Y::ATM::MID,0.0738
20250313,FX.EURUSD.VOL::2Y::ATM::MID,0.0761
20250513,FX.EURUSD.VOL::2Y::ATM::MID,0.0758
20250414,FX.EURUSD.VOL::2Y::ATM::MID,0.0855
20250314,FX.EURUSD.VOL::2Y::ATM::MID,0.0758
20250514,FX.EURUSD.VOL::2Y::ATM::MID,0.076
20250415,FX.EURUSD.VOL::2Y::ATM::MID,0.0834
20250515,FX.EURUSD.VOL::2Y::ATM::MID,0.0766
20250416,FX.EURUSD.VOL::2Y::ATM::MID,0.0855
20250516,FX.EURUSD.VOL::2Y::ATM::MID,0.0761
20250417,FX.EURUSD.VOL::2Y::ATM::MID,0.0835
20250317,FX.EURUSD.VOL::2Y::ATM::MID,0.0747
20250418,FX.EURUSD.VOL::2Y::ATM::MID,0.0836
20250318,FX.EURUSD.VOL::2Y::ATM::MID,0.0757
20250319,FX.EURUSD.VOL::2Y::ATM::MID,0.0755
20250519,FX.EURUSD.VOL::2Y::ATM::MID,0.0767
20250320,FX.EURUSD.VOL::2Y::ATM::MID,0.0755
20250520,FX.EURUSD.VOL::2Y::ATM::MID,0.0769
20250421,FX.EURUSD.VOL::2Y::ATM::MID,0.0888
20250321,FX.EURUSD.VOL::2Y::ATM::MID,0.075
20250521,FX.EURUSD.VOL::2Y::ATM::MID,0.0794
20250422,FX.EURUSD.VOL::2Y::ATM::MID,0.0863
20250522,FX.EURUSD.VOL::2Y::ATM::MID,0.0785
20250423,FX.EURUSD.VOL::2Y::ATM::MID,0.0829
20250523,FX.EURUSD.VOL::2Y::ATM::MID,0.0807
20250424,FX.EURUSD.VOL::2Y::ATM::MID,0.0835
20250224,FX.EURUSD.VOL::2Y::ATM::MID,0.0739
20250324,FX.EURUSD.VOL::2Y::ATM::MID,0.0746
20250425,FX.EURUSD.VOL::2Y::ATM::MID,0.0835
20250225,FX.EURUSD.VOL::2Y::ATM::MID,0.074
20250325,FX.EURUSD.VOL::2Y::ATM::MID,0.0736
20250226,FX.EURUSD.VOL::2Y::ATM::MID,0.0742
20250326,FX.EURUSD.VOL::2Y::ATM::MID,0.0726
20250526,FX.EURUSD.VOL::2Y::ATM::MID,0.0803
20250227,FX.EURUSD.VOL::2Y::ATM::MID,0.0756
20250327,FX.EURUSD.VOL::2Y::ATM::MID,0.0737
20250527,FX.EURUSD.VOL::2Y::ATM::MID,0.0781
20250428,FX.EURUSD.VOL::2Y::ATM::MID,0.0846
20250228,FX.EURUSD.VOL::2Y::ATM::MID,0.0758
20250328,FX.EURUSD.VOL::2Y::ATM::MID,0.0756
20250528,FX.EURUSD.VOL::2Y::ATM::MID,0.0778
20250429,FX.EURUSD.VOL::2Y::ATM::MID,0.0856
20250529,FX.EURUSD.VOL::2Y::ATM::MID,0.0785
20250430,FX.EURUSD.VOL::2Y::ATM::MID,0.0852
20250530,FX.EURUSD.VOL::2Y::ATM::MID,0.0784
20250331,FX.EURUSD.VOL::2Y::ATM::MID,0.0765
20250401,FX.EURUSD.VOL::1W::ATM::MID,0.0962
20250501,FX.EURUSD.VOL::1W::ATM::MID,0.0987
20250402,FX.EURUSD.VOL::1W::ATM::MID,0.1098
20250602,FX.EURUSD.VOL::1W::ATM::MID,0.0884
20250502,FX.EURUSD.VOL::1W::ATM::MID,0.0987
