Dates,Tickers,Tenor,DeltaStrike,Type,Data
20250314,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1001
20250514,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1041
20250415,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1155
20250515,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1055
20250416,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.117
20250516,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1056
20250417,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1156
20250317,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.0996
20250418,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1148
20250318,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.0993
20250319,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1002
20250519,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1067
20250320,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1006
20250520,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1056
20250421,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.119
20250321,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1001
20250521,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1111
20250422,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1179
20250522,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1104
20250423,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1124
20250523,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1135
20250424,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1111
20250224,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1022
20250324,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.0988
20250425,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1108
20250225,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1022
20250325,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.0984
20250226,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1022
20250326,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.0984
20250526,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1134
20250227,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1009
20250327,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.0979
20250527,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1099
20250428,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1131
20250228,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1026
20250328,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.0986
20250528,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1068
20250429,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.114
20250529,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1091
20250430,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1141
20250530,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1082
20250331,FX.USDJPY.VOL::6M::ATM::MID,6M,ATM,ATM,0.1018
20250401,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0881
20250501,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0882
20250402,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0876
20250602,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0954
20250502,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0894
20250403,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0882
20250303,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0866
20250404,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0882
20250304,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0879
20250305,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0883
20250505,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0912
20250306,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0879
20250506,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0915
20250407,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0892
20250307,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.088
20250507,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0898
20250408,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0897
20250508,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0888
20250409,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0902
20250509,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0884
20250410,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0947
20250310,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0875
20250411,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0912
20250311,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0875
20250312,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0853
20250512,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0871
20250313,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0856
20250513,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0903
20250414,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0884
20250314,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0851
20250514,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0921
20250415,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0895
20250515,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0926
20250416,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0906
20250516,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0931
20250417,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0903
20250317,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.086
20250418,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0901
20250318,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0856
20250319,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0859
20250519,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0931
20250320,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0866
20250520,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0929
20250421,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0926
20250321,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.086
20250521,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0957
20250422,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.091
20250522,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0956
20250423,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0875
20250523,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0975
20250424,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0876
20250224,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0869
20250324,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0852
20250425,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0871
20250225,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0875
20250325,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0849
20250226,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0873
20250326,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0854
20250526,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0966
20250227,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0867
20250327,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0851
20250527,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0943
20250428,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0888
20250228,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0869
20250328,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0854
20250528,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0927
20250429,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0895
20250529,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0944
20250430,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0896
20250530,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0941
20250331,FX.USDJPY.VOL::7Y::ATM::MID,7Y,ATM,ATM,0.0877
20250401,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1011
20250501,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1072
20250402,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1006
20250602,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1071
20250502,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1086
20250403,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1038
20250303,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1002
20250404,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1058
20250304,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1022
20250305,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1028
20250505,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.111
20250306,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1043
20250506,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1114
20250407,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.107
20250307,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1048
20250507,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1105
20250408,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1079
20250508,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1074
20250409,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1084
20250509,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.107
20250410,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1132
20250310,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1049
20250411,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1136
20250311,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1044
20250312,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1019
20250512,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1013
20250313,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1015
20250513,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0989
20250414,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1098
20250314,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0995
20250514,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1019
20250415,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1104
20250515,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1029
20250416,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1117
20250516,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1032
20250417,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1105
20250317,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0994
20250418,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1103
20250318,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0992
20250319,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0995
20250519,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1038
20250320,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0999
20250520,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1033
20250421,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1135
20250321,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0996
20250521,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1076
20250422,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1127
20250522,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1074
20250423,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1079
20250523,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1099
20250424,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1075
20250224,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0999
20250324,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0987
20250425,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1074
20250225,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1007
20250325,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0981
20250226,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1004
20250326,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.098
20250526,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1095
20250227,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0998
20250327,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0975
20250527,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1067
20250428,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1087
20250228,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1009
20250328,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.0981
20250528,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1043
20250429,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1095
20250529,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1063
20250430,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1095
20250530,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1058
20250331,FX.USDJPY.VOL::9M::ATM::MID,9M,ATM,ATM,0.1005
20250401,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0976
20250501,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1013
20250402,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0971
20250602,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1097
20250502,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1021
20250403,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0992
20250303,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.098
20250404,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1002
20250304,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0995
20250305,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0998
20250505,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1038
20250306,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0995
20250506,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1044
20250407,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1012
20250307,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0996
20250507,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1033
20250408,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1017
20250508,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1019
20250409,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.105
20250509,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1015
20250410,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1086
20250310,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.099
20250411,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1072
20250311,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0991
20250312,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0968
20250512,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0979
20250313,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0971
20250513,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0982
20250414,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1041
20250314,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0956
20250514,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1056
20250415,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1054
20250515,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1061
20250416,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1051
20250516,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1071
20250417,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1046
20250317,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.096
20250418,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1041
20250318,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0956
20250319,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0964
20250519,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1071
20250320,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0971
20250520,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.107
20250421,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1071
20250321,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0965
20250521,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1104
20250422,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.106
20250522,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1104
20250423,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1002
20250523,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1124
20250424,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1016
20250224,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0974
20250324,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0957
20250425,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1008
20250225,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.098
20250325,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0946
20250226,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0978
20250326,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.095
20250526,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1116
20250227,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0977
20250327,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0946
20250527,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1091
20250428,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1019
20250228,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0984
20250328,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.095
20250528,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1072
20250429,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1026
20250529,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1086
20250430,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1027
20250530,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.1081
20250331,FX.USDJPY.VOL::20Y::ATM::MID,20Y,ATM,ATM,0.0971
20250401,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0876
20250501,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0928
20250402,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0871
20250602,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0995
20250502,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0937
20250403,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0888
20250303,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0891
20250404,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0893
20250304,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0904
20250305,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0908
20250505,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0952
20250306,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0895
20250506,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0959
20250407,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0902
20250307,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0896
20250507,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0958
20250408,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0926
20250508,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0949
20250409,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0945
20250509,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0945
20250410,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0991
20250310,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.089
20250411,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0978
20250311,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0891
20250312,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0868
20250512,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0919
20250313,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0871
20250513,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0953
20250414,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0946
20250314,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0856
20250514,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.0951
20250415,FX.USDJPY.VOL::15Y::ATM::MID,15Y,ATM,ATM,0.096
