Dates,Tickers,Expiry,Tenor,Data
20250317,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008057
20250418,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007826
20250318,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007957
20250319,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007903
20250519,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007735
20250320,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.00787
20250520,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007728
20250421,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007835
20250321,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.00794
20250521,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007689
20250422,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007912
20250522,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007657
20250423,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007768
20250523,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007667
20250424,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007693
20250224,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007489
20250324,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007954
20250425,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007659
20250225,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007517
20250325,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007979
20250226,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007498
20250326,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007929
20250526,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007656
20250227,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007498
20250327,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007993
20250527,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007633
20250428,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007698
20250228,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007529
20250328,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008005
20250528,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007591
20250429,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007742
20250529,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007569
20250430,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.007755
20250530,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.0075
20250331,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::4Y::NORMAL.MID,4Y,4Y,0.008032
20250401,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007914
20250501,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007673
20250402,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007883
20250602,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007459
20250502,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007691
20250403,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007967
20250303,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007539
20250404,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.008073
20250304,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007643
20250305,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.00784
20250505,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007686
20250306,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007959
20250506,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007636
20250407,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.00815
20250307,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.00796
20250507,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007608
20250408,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007937
20250508,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007541
20250409,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.008099
20250509,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007584
20250410,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007972
20250310,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007981
20250411,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.008043
20250311,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.008155
20250312,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.008229
20250512,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007621
20250313,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.008169
20250513,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.00763
20250414,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007911
20250314,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.008114
20250514,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007652
20250415,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007857
20250515,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007658
20250416,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007872
20250516,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.00764
20250417,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007789
20250317,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007985
20250418,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007777
20250318,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007889
20250319,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007844
20250519,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007678
20250320,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007804
20250520,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007663
20250421,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007785
20250321,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007889
20250521,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007662
20250422,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007859
20250522,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007623
20250423,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007731
20250523,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007629
20250424,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.00764
20250224,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007445
20250324,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007888
20250425,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007611
20250225,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007477
20250325,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007925
20250226,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007461
20250326,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007856
20250526,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007617
20250227,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007448
20250327,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007937
20250527,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007608
20250428,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007647
20250228,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007485
20250328,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007921
20250528,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007564
20250429,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007667
20250529,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.00753
20250430,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007675
20250530,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007487
20250331,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::4Y::5Y::NORMAL.MID,4Y,5Y,0.007954
20250401,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006922
20250501,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006849
20250402,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006917
20250602,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007014
20250502,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006867
20250403,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006982
20250303,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006779
20250404,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007098
20250304,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006897
20250305,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006998
20250505,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006878
20250306,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007018
20250506,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006801
20250407,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007153
20250307,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007036
20250507,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006768
20250408,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006993
20250508,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006736
20250409,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007037
20250509,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006769
20250410,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.00699
20250310,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007072
20250411,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007008
20250311,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007144
20250312,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007094
20250512,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006818
20250313,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007033
20250513,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006841
20250414,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006934
20250314,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007011
20250514,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006868
20250415,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006886
20250515,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006833
20250416,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006922
20250516,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006831
20250417,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006892
20250317,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.00695
20250418,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006883
20250318,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006832
20250319,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006802
20250519,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006879
20250320,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006781
20250520,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006936
20250421,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006888
20250321,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006853
20250521,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007016
20250422,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006945
20250522,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007024
20250423,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006893
20250523,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007047
20250424,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006827
20250224,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006701
20250324,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.00685
20250425,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006781
20250225,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006727
20250325,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006862
20250226,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.00669
20250326,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006816
20250526,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.007
20250227,IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM::5Y::30Y::NORMAL.MID,5Y,30Y,0.006691
